BLOOM-1B1 QLORA finetuning with SIB200 Dataset
Pearson correlation: -0.698, p-value: 0.002
Spearman correlation: -0.718, p-value: 0.001
language  accuracy  subword_fertility
      ar    0.2222             1.2847
      bg    0.2424             2.7779
      de    0.3939             1.7864
      el    0.2626             3.8337
      en    0.4444             1.0919
      es    0.4646             1.1046
      fr    0.5051             1.0846
      hi    0.4949             1.2746
      ja    0.3535             1.4374
      ko    0.2323             4.2215
      ru    0.2929             2.9179
      sw    0.4040             1.5987
      th    0.2525             4.7427
      tr    0.3030             2.5881
      ur    0.3232             1.2570
      vi    0.5758             1.3741
      zh    0.5152             0.9644
